date, PM2.5, p10,Month,Year,,,,,,,,,,,,,,,,
10/1/2020,78, ,10,2020,,,,,,,,,,,,,,,,
10/2/2020,76,34,10,2020,,,,,,,,,,,,,,,,
10/3/2020,76,30,10,2020,,,,,,,,,,,,,,,,
10/4/2020,69,25,10,2020,,,,,,,,,,,,,Row Labels,Count of  PM2.5,,
10/5/2020,68,27,10,2020,,,,,,,,,,,,,1,96,Moderate,January
10/6/2020,66,30,10,2020,,,,,,,,,,,,,2,78,Moderate,February
10/7/2020,65,36,10,2020,,,,,,,,,,,,,3,98,Moderate,March
10/8/2020,55,39,10,2020,,,,,,,,,,,,,4,116,Unhealthy for Sensitive group,April
10/9/2020,53,31,10,2020,,,,,,,,,,,,,5,122,Unhealthy for Sensitive group,May
10/10/2020,65,30,10,2020,,,,,,,,,,,,,6,119,Unhealthy for Sensitive group,June
10/11/2020,61,27,10,2020,,,,,,,,,,,,,7,118,Unhealthy for Sensitive group,July
10/12/2020,62,26,10,2020,,,,,,,,,,,,,8,120,Unhealthy for Sensitive group,August
10/13/2020,67,25,10,2020,,,,,,,,,,,,,9,116,Unhealthy for Sensitive group,September
10/14/2020,83,32,10,2020,,,,,,,,,,,,,10,106,Unhealthy for Sensitive group,October
10/15/2020,82,28,10,2020,,,,,,,,,,,,,11,108,Unhealthy for Sensitive group,November
10/16/2020,70,32,10,2020,,,,,,,,,,,,,12,108,Unhealthy for Sensitive group,December
10/17/2020,67,26,10,2020,,,,,,,,,,,,,Grand Total,1305,,
10/18/2020,69,31,10,2020,,,,,,,,,,,,,,,,
10/19/2020,80,30,10,2020,,,,,,,,,,,,,,,,
10/20/2020,87,26,10,2020,,,,,,,,,,,,,,,,
10/21/2020,102,21,10,2020,,,,,,,,,,,,,,,,
10/22/2020,93,25,10,2020,,,,,,,,,,,,,,,,
10/23/2020,83,8,10,2020,,,,,,,,,,,,,,,,
10/24/2020,84, ,10,2020,,,,,,,,,,,,,,,,
10/25/2020,74,19,10,2020,,,,,,,,,,,,,,,,
10/26/2020,68,19,10,2020,,,,,,,,,,,,,,,,
10/27/2020,65,16,10,2020,,,,,,,,,,,,,,,,
